BranchKey,Date,SubsidiaryAccountKey,BudgetAmount,ActualAmount
1,2022-03-01,1001001001,28236010,17801641.75
1,2022-03-01,1001002002,8825730,5671690.17
1,2022-03-01,1001003003,512410,347686.37
1,2022-03-01,1002001001,26750,15000
1,2022-03-01,1002002002,17730,10000
1,2022-03-01,2001001001,-170740,-146011.85
1,2022-03-01,2003001001,-151840,-95403.11
1,2022-03-01,2003002002,-74750,-49637.81
1,2022-03-01,2004001001,-6718080,-4292283.29
1,2022-03-01,2005001001,-2876980,-1812297.39
1,2022-03-01,2005002002,-595510,-393459.3
1,2022-03-01,2005003003,-69210,-52156.18
1,2022-03-01,4001001001,-4904472.11,-2944506.33
1,2022-03-01,4001002007,-388564.89,-235560.5
1,2022-03-01,4001003010,-309661.4,-176670.37
1,2022-03-01,4002001001,-5632970,-3960210.12
1,2022-03-01,4002002002,-2161320,-1584083.98
1,2022-03-01,4002003003,-3845740,-2640140.04
1,2022-03-01,4003001001,-513200,-396020.99
1,2022-03-01,4003002002,-498980,-264013.87
1,2022-03-01,4003003003,-2204710,-1584084.07
1,2022-03-01,4003004004,-24800,-26401.27
1,2022-03-01,6001001001,-1091844.65,-817918.41
1,2022-03-01,6001002007,-86662.15,-65433.46
1,2022-03-01,6001003010,-69605.65,-49075.09
1,2022-03-01,6002001001,-202640,-132006.87
1,2022-03-01,6002002002,-93160,-52802.64
1,2022-03-01,6003001001,-47160,-35641.74
1,2022-03-01,6003002002,-92700,-64683.24
1,2022-03-01,6003003003,-91980,-59403.01
1,2022-03-01,6004001001,-232300,-158408.22
1,2022-03-01,6005001001,-416430,-266653.98
1,2022-03-01,6005002002,-88460,-54122.73
1,2022-03-01,6005003003,-14920,-9240.32
1,2022-03-01,6005004004,-166850,-128046.7
1,2022-03-01,6005005005,-24530,-14520.64
1,2022-03-01,6005006006,-129930,-81844.18
1,2022-03-01,8001001001,-4030,-3338.43
1,2022-03-01,8001002002,-3900,-3338.43
1,2022-03-01,8002001001,25000,-5007.66
1,2022-03-01,8002002002,55690,23369.08
1,2022-03-01,8003001001,-3710,-3338.42
1,2022-03-01,10001001001,-432110,-286152.22
1,2022-03-01,10001002002,-402550,-257537
1,2022-04-01,1001001001,28236010,22549842.8
1,2022-04-01,1001002002,8825730,7110437.37
1,2022-04-01,1001003003,512410,474113.79
1,2022-04-01,1002001001,26750,30000
1,2022-04-01,1002002002,17730,20000
1,2022-04-01,2001001001,-170740,-134625.75
1,2022-04-01,2003001001,-151840,-124017.84
1,2022-04-01,2003002002,-74750,-67014.63
1,2022-04-01,2004001001,-6718080,-5433190.91
1,2022-04-01,2005001001,-2876980,-2294013.94
1,2022-04-01,2005002002,-595510,-498042.5
1,2022-04-01,2005003003,-69210,-56582.87
1,2022-04-01,4001001001,-4904472.11,-4141298.84
1,2022-04-01,4001002007,-388564.89,-331303.9
1,2022-04-01,4001003010,-309661.4,-248477.92
1,2022-04-01,4002001001,-5632970,-4180425.09
1,2022-04-01,4002002002,-2161320,-1672169.93
1,2022-04-01,4002003003,-3845740,-3344340.04
1,2022-04-01,4003001001,-513200,-501650.99
1,2022-04-01,4003002002,-498980,-501650.89
1,2022-04-01,4003003003,-2204710,-2006604.08
1,2022-04-01,4003004004,-24800,-16721.56
1,2022-04-01,6001001001,-1091844.65,-621194.81
1,2022-04-01,6001002007,-86662.15,-49695.57
1,2022-04-01,6001003010,-69605.65,-37271.68
1,2022-04-01,6002001001,-202640,-167216.87
1,2022-04-01,6002002002,-93160,-66886.68
1,2022-04-01,6003001001,-47160,-40131.91
1,2022-04-01,6003002002,-92700,-81936.18
1,2022-04-01,6003003003,-91980,-78591.83
1,2022-04-01,6004001001,-232300,-185610.73
1,2022-04-01,6005001001,-416430,-336106.04
1,2022-04-01,6005002002,-88460,-73575.33
1,2022-04-01,6005003003,-14920,-10032.86
1,2022-04-01,6005004004,-166850,-118723.91
1,2022-04-01,6005005005,-24530,-21738.07
1,2022-04-01,6005006006,-129930,-90297.05
1,2022-04-01,8001001001,-4030,-4014.51
1,2022-04-01,8001002002,-3900,-4437.08
1,2022-04-01,8002001001,25000,19016.16
1,2022-04-01,8002002002,55690,33806.49
1,2022-04-01,8003001001,-3710,-1479
1,2022-04-01,10001001001,-432110,-407489.32
1,2022-04-01,10001002002,-402550,-353157.41
1,2022-05-01,1001001001,28236010,21847975.82
1,2022-05-01,1001002002,8825730,7328621.62
1,2022-05-01,1001003003,512410,432530.34
1,2022-05-01,1002001001,26750,30000
1,2022-05-01,1002002002,17730,20000
1,2022-05-01,2001001001,-170740,-101719.37
1,2022-05-01,2003001001,-151840,-118400.11
1,2022-05-01,2003002002,-74750,-53269.08
1,2022-05-01,2004001001,-6718080,-5338643
1,2022-05-01,2005001001,-2876980,-2254093.71
1,2022-05-01,2005002002,-595510,-489375.61
1,2022-05-01,2005003003,-69210,-46320.51
1,2022-05-01,4001001001,-4904472.11,-3662309.09
1,2022-05-01,4001002007,-388564.89,-292984.72
1,2022-05-01,4001003010,-309661.4,-256361.63
1,2022-05-01,4002001001,-5632970,-4860370.55
1,2022-05-01,4002002002,-2161320,-1620123.46
1,2022-05-01,4002003003,-3845740,-2916222.28
1,2022-05-01,4003001001,-513200,-486037.03
1,2022-05-01,4003002002,-498980,-324024.56
1,2022-05-01,4003003003,-2204710,-1620123.54
1,2022-05-01,4003004004,-24800,-16201.08
1,2022-05-01,6001001001,-1091844.65,-1017308.07
1,2022-05-01,6001002007,-86662.15,-81384.63
1,2022-05-01,6001003010,-69605.65,-61038.47
1,2022-05-01,6002001001,-202640,-162012.2
1,2022-05-01,6002002002,-93160,-81006.02
1,2022-05-01,6003001001,-47160,-38882.81
1,2022-05-01,6003002002,-92700,-69665.16
1,2022-05-01,6003003003,-91980,-74525.54
1,2022-05-01,6004001001,-232300,-173353.08
1,2022-05-01,6005001001,-416430,-336985.57
1,2022-05-01,6005002002,-88460,-66424.93
1,2022-05-01,6005003003,-14920,-12960.84
1,2022-05-01,6005004004,-166850,-149051.21
1,2022-05-01,6005005005,-24530,-19441.32
1,2022-05-01,6005006006,-129930,-98827.37
1,2022-05-01,8001001001,-4030,-3114.19
1,2022-05-01,8001002002,-3900,-1038.05
1,2022-05-01,8002001001,25000,56055.73
1,2022-05-01,8002002002,55690,49827.31
1,2022-05-01,8003001001,-3710,-4775.1
1,2022-05-01,10001001001,-432110,-355909.53
1,2022-05-01,10001002002,-402550,-320318.58
1,2022-06-01,1001001001,28236010,22035060.25
1,2022-06-01,1001002002,8825730,7194033.37
1,2022-06-01,1001003003,512410,449255.43
1,2022-06-01,1002001001,26750,30000
1,2022-06-01,1002002002,17730,20000
1,2022-06-01,2001001001,-170740,-126621.65
1,2022-06-01,2003001001,-151840,-116099.45
1,2022-06-01,2003002002,-74750,-42429.15
1,2022-06-01,2004001001,-6718080,-5351102.83
1,2022-06-01,2005001001,-2876980,-2259354.53
1,2022-06-01,2005002002,-595510,-490517.76
1,2022-06-01,2005003003,-69210,-55694.13
1,2022-06-01,4001001001,-4904472.11,-3670856.53
1,2022-06-01,4001002007,-388564.89,-293668.51
1,2022-06-01,4001003010,-309661.4,-256959.94
1,2022-06-01,4002001001,-5632970,-4575190.63
1,2022-06-01,4002002002,-2161320,-1960795.88
1,2022-06-01,4002003003,-3845740,-3104593.58
1,2022-06-01,4003001001,-513200,-490198.97
1,2022-06-01,4003002002,-498980,-490198.84
1,2022-06-01,4003003003,-2204710,-1633996.67
1,2022-06-01,4003004004,-24800,-32679.77
1,2022-06-01,6001001001,-1091844.65,-815745.89
1,2022-06-01,6001002007,-86662.15,-65259.66
1,2022-06-01,6001003010,-69605.65,-57102.19
1,2022-06-01,6002001001,-202640,-163399.52
1,2022-06-01,6002002002,-93160,-65359.69
1,2022-06-01,6003001001,-47160,-35947.8
1,2022-06-01,6003002002,-92700,-81699.64
1,2022-06-01,6003003003,-91980,-75163.7
1,2022-06-01,6004001001,-232300,-169935.52
1,2022-06-01,6005001001,-416430,-336603.18
1,2022-06-01,6005002002,-88460,-73529.69
1,2022-06-01,6005003003,-14920,-9803.84
1,2022-06-01,6005004004,-166850,-98039.65
1,2022-06-01,6005005005,-24530,-21241.79
1,2022-06-01,6005006006,-129930,-98039.65
1,2022-06-01,8001001001,-4030,-2497.16
1,2022-06-01,8001002002,-3900,-3121.46
1,2022-06-01,8002001001,25000,6242.96
1,2022-06-01,8002002002,55690,45781.62
1,2022-06-01,8003001001,-3710,-2705.27
1,2022-06-01,10001001001,-432110,-356740.19
1,2022-06-01,10001002002,-402550,-294310.66
1,2022-07-01,1001001001,28236010,36192005.46
1,2022-07-01,1001002002,8825730,11004738.69
1,2022-07-01,1001003003,512410,649724.17
1,2022-07-01,1002001001,26750,30000
1,2022-07-01,1002002002,17730,20000
1,2022-07-01,2001001001,-170740,-231238.17
1,2022-07-01,2003001001,-151840,-201281
1,2022-07-01,2003002002,-74750,-121372.21
1,2022-07-01,2004001001,-6718080,-8621364.3
1,2022-07-01,2005001001,-2876980,-3640131.59
1,2022-07-01,2005002002,-595510,-790291.73
1,2022-07-01,2005003003,-69210,-82461.84
1,2022-07-01,4001001001,-4904472.11,-6571395.44
1,2022-07-01,4001002007,-388564.89,-525711.63
1,2022-07-01,4001003010,-309661.4,-459997.67
1,2022-07-01,4002001001,-5632970,-6709491.1
1,2022-07-01,4002002002,-2161320,-3220555.63
1,2022-07-01,4002003003,-3845740,-4830833.55
1,2022-07-01,4003001001,-513200,-536759.27
1,2022-07-01,4003002002,-498980,-805138.8
1,2022-07-01,4003003003,-2204710,-2683796.46
1,2022-07-01,4003004004,-24800,-53675.77
1,2022-07-01,6001001001,-1091844.65,-985709.3
1,2022-07-01,6001002007,-86662.15,-78856.73
1,2022-07-01,6001003010,-69605.65,-68999.64
1,2022-07-01,6002001001,-202640,-268379.52
1,2022-07-01,6002002002,-93160,-134189.69
1,2022-07-01,6003001001,-47160,-53675.79
1,2022-07-01,6003002002,-92700,-131505.89
1,2022-07-01,6003003003,-91980,-126138.29
1,2022-07-01,6004001001,-232300,-295217.48
1,2022-07-01,6005001001,-416430,-563597.08
1,2022-07-01,6005002002,-88460,-107351.71
1,2022-07-01,6005003003,-14920,-13418.83
1,2022-07-01,6005004004,-166850,-233490.19
1,2022-07-01,6005005005,-24530,-29521.61
1,2022-07-01,6005006006,-129930,-144924.85
1,2022-07-01,8001001001,-4030,-5364.38
1,2022-07-01,8001002002,-3900,-6370.2
1,2022-07-01,8002001001,25000,130757.33
1,2022-07-01,8002002002,55690,100582.54
1,2022-07-01,8003001001,-3710,-5029.1
1,2022-07-01,10001001001,-432110,-574757.62
1,2022-07-01,10001002002,-402550,-474175.04
1,2022-08-01,1001001001,28236010,36896424.66
1,2022-08-01,1001002002,8825730,11308011.1
1,2022-08-01,1001003003,512410,644132.15
1,2022-08-01,1002001001,26750,30000
1,2022-08-01,1002002002,17730,20000
1,2022-08-01,2001001001,-170740,-244103.21
1,2022-08-01,2003001001,-151840,-198956.22
1,2022-08-01,2003002002,-74750,-103583.58
1,2022-08-01,2004001001,-6718080,-8801742.22
1,2022-08-01,2005001001,-2876980,-3716291.16
1,2022-08-01,2005002002,-595510,-806826.37
1,2022-08-01,2005003003,-69210,-94928.71
1,2022-08-01,4001001001,-4904472.11,-6037995.15
1,2022-08-01,4001002007,-388564.89,-483039.59
1,2022-08-01,4001003010,-309661.4,-362279.7
1,2022-08-01,4002001001,-5632970,-8208096.7
1,2022-08-01,4002002002,-2161320,-2736032.15
1,2022-08-01,4002003003,-3845740,-5198461.2
1,2022-08-01,4003001001,-513200,-820809.65
1,2022-08-01,4003002002,-498980,-547206.3
1,2022-08-01,4003003003,-2204710,-3009635.48
1,2022-08-01,4003004004,-24800,-27360.18
1,2022-08-01,6001001001,-1091844.65,-1677220.87
1,2022-08-01,6001002007,-86662.15,-134177.66
1,2022-08-01,6001003010,-69605.65,-117405.45
1,2022-08-01,6002001001,-202640,-273603.08
1,2022-08-01,6002002002,-93160,-109441.14
1,2022-08-01,6003001001,-47160,-57456.52
1,2022-08-01,6003002002,-92700,-136801.47
1,2022-08-01,6003003003,-91980,-125857.35
1,2022-08-01,6004001001,-232300,-303699.47
1,2022-08-01,6005001001,-416430,-571830.6
1,2022-08-01,6005002002,-88460,-120385.25
1,2022-08-01,6005003003,-14920,-16416.03
1,2022-08-01,6005004004,-166850,-164161.8
1,2022-08-01,6005005005,-24530,-27360.16
1,2022-08-01,6005006006,-129930,-164161.81
1,2022-08-01,8001001001,-4030,-5134.32
1,2022-08-01,8001002002,-3900,-4107.45
1,2022-08-01,8002001001,25000,20537.4
1,2022-08-01,8002002002,55690,82149.56
1,2022-08-01,8003001001,-3710,-5476.61
1,2022-08-01,10001001001,-432110,-660130.67
1,2022-08-01,10001002002,-402550,-572113.24
1,2022-09-01,1001001001,28236010,36580042.12
1,2022-09-01,1001002002,8825730,11070499.21
1,2022-09-01,1001003003,512410,648895.64
1,2022-09-01,1002001001,26750,30000
1,2022-09-01,1002002002,17730,20000
1,2022-09-01,2001001001,-170740,-221567
1,2022-09-01,2003001001,-151840,-194934.96
1,2022-09-01,2003002002,-74750,-76328.55
1,2022-09-01,2004001001,-6718080,-8702898.65
1,2022-09-01,2005001001,-2876980,-3674557.21
1,2022-09-01,2005002002,-595510,-797765.71
1,2022-09-01,2005003003,-69210,-80730.13
1,2022-09-01,4001001001,-4904472.11,-6301865.6
1,2022-09-01,4001002007,-388564.89,-504149.24
1,2022-09-01,4001003010,-309661.4,-378111.93
1,2022-09-01,4002001001,-5632970,-7866456.11
1,2022-09-01,4002002002,-2161320,-2712570.96
1,2022-09-01,4002003003,-3845740,-5153885.01
1,2022-09-01,4003001001,-513200,-542514.19
1,2022-09-01,4003002002,-498980,-813771.18
1,2022-09-01,4003003003,-2204710,-3255085.31
1,2022-09-01,4003004004,-24800,-27125.57
1,2022-09-01,6001001001,-1091844.65,-1658385.67
1,2022-09-01,6001002007,-86662.15,-132670.84
1,2022-09-01,6001003010,-69605.65,-99503.13
1,2022-09-01,6002001001,-202640,-271256.98
1,2022-09-01,6002002002,-93160,-135628.43
1,2022-09-01,6003001001,-47160,-65101.53
1,2022-09-01,6003002002,-92700,-119353.01
1,2022-09-01,6003003003,-91980,-122065.54
1,2022-09-01,6004001001,-232300,-303807.82
1,2022-09-01,6005001001,-416430,-561502.07
1,2022-09-01,6005002002,-88460,-113927.83
1,2022-09-01,6005003003,-14920,-24412.97
1,2022-09-01,6005004004,-166850,-214292.97
1,2022-09-01,6005005005,-24530,-29838.12
1,2022-09-01,6005006006,-129930,-170891.81
1,2022-09-01,8001001001,-4030,-6768.89
1,2022-09-01,8001002002,-3900,-4399.77
1,2022-09-01,8002001001,25000,20306.76
1,2022-09-01,8002002002,55690,94764.86
1,2022-09-01,8003001001,-3710,-6768.9
1,2022-09-01,10001001001,-432110,-507669.09
1,2022-09-01,10001002002,-402550,-522173.92
1,2022-10-01,1001001001,28236010,35722104.1
1,2022-10-01,1001002002,8825730,10836345.04
1,2022-10-01,1001003003,512410,643065.33
1,2022-10-01,1002001001,26750,30000
1,2022-10-01,1002002002,17730,20000
1,2022-10-01,2001001001,-170740,-204077.1
1,2022-10-01,2003001001,-151840,-185534.58
1,2022-10-01,2003002002,-74750,-82436.17
1,2022-10-01,2004001001,-6718080,-8505272.6
1,2022-10-01,2005001001,-2876980,-3591115.1
1,2022-10-01,2005002002,-595510,-779649.99
1,2022-10-01,2005003003,-69210,-89364.98
1,2022-10-01,4001001001,-4904472.11,-6482907.77
1,2022-10-01,4001002007,-388564.89,-518632.62
1,2022-10-01,4001003010,-309661.4,-388974.45
1,2022-10-01,4002001001,-5632970,-6887273.12
1,2022-10-01,4002002002,-2161320,-3178741.34
1,2022-10-01,4002003003,-3845740,-5033007.22
1,2022-10-01,4003001001,-513200,-529790.21
1,2022-10-01,4003002002,-498980,-794685.23
1,2022-10-01,4003003003,-2204710,-2648951.22
1,2022-10-01,4003004004,-24800,-26489.36
1,2022-10-01,6001001001,-1091844.65,-972436.16
1,2022-10-01,6001002007,-86662.15,-77794.88
1,2022-10-01,6001003010,-69605.65,-58346.16
1,2022-10-01,6002001001,-202640,-264894.97
1,2022-10-01,6002002002,-93160,-132447.39
1,2022-10-01,6003001001,-47160,-52978.88
1,2022-10-01,6003002002,-92700,-105957.92
1,2022-10-01,6003003003,-91980,-124500.57
1,2022-10-01,6004001001,-232300,-301980.29
1,2022-10-01,6005001001,-416430,-553630.67
1,2022-10-01,6005002002,-88460,-105957.93
1,2022-10-01,6005003003,-14920,-21191.47
1,2022-10-01,6005004004,-166850,-235756.52
1,2022-10-01,6005005005,-24530,-39734.12
1,2022-10-01,6005006006,-129930,-164234.83
1,2022-10-01,8001001001,-4030,-4630.62
1,2022-10-01,8001002002,-3900,-5953.67
1,2022-10-01,8002001001,25000,39691.26
1,2022-10-01,8002002002,55690,59536.89
1,2022-10-01,8003001001,-3710,-4299.87
1,2022-10-01,10001001001,-432110,-496140.9
1,2022-10-01,10001002002,-402550,-552842.72
1,2022-11-01,1001001001,28236010,35720307.54
1,2022-11-01,1001002002,8825730,10872906.1
1,2022-11-01,1001003003,512410,642036.72
1,2022-11-01,1002001001,26750,30000
1,2022-11-01,1002002002,17730,20000
1,2022-11-01,2001001001,-170740,-233337.97
1,2022-11-01,2003001001,-151840,-191047.78
1,2022-11-01,2003002002,-74750,-99951.81
1,2022-11-01,2004001001,-6718080,-8511345.06
1,2022-11-01,2005001001,-2876980,-3593679.03
1,2022-11-01,2005002002,-595510,-780206.63
1,2022-11-01,2005003003,-69210,-99373.95
1,2022-11-01,4001001001,-4904472.11,-6487536.33
1,2022-11-01,4001002007,-388564.89,-519002.9
1,2022-11-01,4001003010,-309661.4,-454127.54
1,2022-11-01,4002001001,-5632970,-6886926.73
1,2022-11-01,4002002002,-2161320,-2913699.63
1,2022-11-01,4002003003,-3845740,-5032754.08
1,2022-11-01,4003001001,-513200,-794645.37
1,2022-11-01,4003002002,-498980,-529763.45
1,2022-11-01,4003003003,-2204710,-2648817.99
1,2022-11-01,4003004004,-24800,-26488.02
1,2022-11-01,6001001001,-1091844.65,-1621884.07
1,2022-11-01,6001002007,-86662.15,-129750.72
1,2022-11-01,6001003010,-69605.65,-113531.87
1,2022-11-01,6002001001,-202640,-264881.67
1,2022-11-01,6002002002,-93160,-132440.77
1,2022-11-01,6003001001,-47160,-63571.48
1,2022-11-01,6003002002,-92700,-127143.11
1,2022-11-01,6003003003,-91980,-121845.49
1,2022-11-01,6004001001,-232300,-283423.41
1,2022-11-01,6005001001,-416430,-535061.1
1,2022-11-01,6005002002,-88460,-108601.37
1,2022-11-01,6005003003,-14920,-15892.76
1,2022-11-01,6005004004,-166850,-180119.49
1,2022-11-01,6005005005,-24530,-29136.84
1,2022-11-01,6005006006,-129930,-180119.49
1,2022-11-01,8001001001,-4030,-4302.94
1,2022-11-01,8001002002,-3900,-3640.94
1,2022-11-01,8002001001,25000,-49649.53
1,2022-11-01,8002002002,55690,26479.73
1,2022-11-01,8003001001,-3710,-2647.96
1,2022-11-01,10001001001,-432110,-567423
1,2022-11-01,10001002002,-402550,-468123.98
1,2022-12-01,1001001001,28236010,34946834.12
1,2022-12-01,1001002002,8825730,10852725.67
1,2022-12-01,1001003003,512410,646188.63
1,2022-12-01,1002001001,26750,30000
1,2022-12-01,1002002002,17730,20000
1,2022-12-01,2001001001,-170740,-203240.21
1,2022-12-01,2003001001,-151840,-190728.45
1,2022-12-01,2003002002,-74750,-107030.3
1,2022-12-01,2004001001,-6718080,-8369234.72
1,2022-12-01,2005001001,-2876980,-3533676.88
1,2022-12-01,2005002002,-595510,-767179.85
1,2022-12-01,2005003003,-69210,-92151.1
1,2022-12-01,4001001001,-4904472.11,-5741295
1,2022-12-01,4001002007,-388564.89,-459303.58
1,2022-12-01,4001003010,-309661.4,-401890.65
1,2022-12-01,4002001001,-5632970,-7774384.53
1,2022-12-01,4002002002,-2161320,-2591461.42
1,2022-12-01,4002003003,-3845740,-4664630.65
1,2022-12-01,4003001001,-513200,-518292.29
1,2022-12-01,4003002002,-498980,-518292.16
1,2022-12-01,4003003003,-2204710,-2591461.54
1,2022-12-01,4003004004,-24800,-25914.48
1,2022-12-01,6001001001,-1091844.65,-1594804.16
1,2022-12-01,6001002007,-86662.15,-127584.32
1,2022-12-01,6001003010,-69605.65,-95688.23
1,2022-12-01,6002001001,-202640,-259146
1,2022-12-01,6002002002,-93160,-129572.92
1,2022-12-01,6003001001,-47160,-59603.47
1,2022-12-01,6003002002,-92700,-111432.72
1,2022-12-01,6003003003,-91980,-119207.12
1,2022-12-01,6004001001,-232300,-295426.47
1,2022-12-01,6005001001,-416430,-523475.11
1,2022-12-01,6005002002,-88460,-116615.63
1,2022-12-01,6005003003,-14920,-20731.53
1,2022-12-01,6005004004,-166850,-256554.54
1,2022-12-01,6005005005,-24530,-33688.87
1,2022-12-01,6005006006,-129930,-173627.79
1,2022-12-01,8001001001,-4030,-3905.61
1,2022-12-01,8001002002,-3900,-6183.9
1,2022-12-01,8002001001,25000,19528.22
1,2022-12-01,8002002002,55690,52075.19
1,2022-12-01,8003001001,-3710,-3580.14
1,2022-12-01,10001001001,-432110,-557948.98
1,2022-12-01,10001002002,-402550,-544000.26
1,2023-01-01,1001001001,40568030,41401251.62
1,2023-01-01,1001002002,13367140,13133578.46
1,2023-01-01,1001003003,715040,695179.34
1,2023-01-01,1002001001,30580,30000
1,2023-01-01,1002002002,19780,20000
1,2023-01-01,2001001001,-259790,-306168.66
1,2023-01-01,2003001001,-220380,-222547.83
1,2023-01-01,2003002002,-110550,-109822.51
1,2023-01-01,2004001001,-9532400,-9950401.7
1,2023-01-01,2005001001,-4029940,-4201280.72
1,2023-01-01,2005002002,-920980,-912120.16
1,2023-01-01,2005003003,-104950,-106477.85
1,2023-01-01,4001001001,-7046827.95,-7584417.28
1,2023-01-01,4001002007,-557889.91,-606753.37
1,2023-01-01,4001003010,-470507.42,-455065.02
1,2023-01-01,4002001001,-8472050,-8903246.45
1,2023-01-01,4002002002,-3308190,-3070084.86
1,2023-01-01,4002003003,-5707520,-5526152.93
1,2023-01-01,4003001001,-822960,-614016.98
1,2023-01-01,4003002002,-768760,-921025.37
1,2023-01-01,4003003003,-3376400,-3070085
1,2023-01-01,4003004004,-48610,-61401.57
1,2023-01-01,6001001001,-1541455.04,-1516883.44
1,2023-01-01,6001002007,-119613.82,-121350.67
1,2023-01-01,6001003010,-100536.12,-91013
1,2023-01-01,6002001001,-308710,-307008.37
1,2023-01-01,6002002002,-142120,-122803.25
1,2023-01-01,6003001001,-73160,-61401.56
1,2023-01-01,6003002002,-133720,-132013.49
1,2023-01-01,6003003003,-136370,-138153.66
1,2023-01-01,6004001001,-323020,-331569.07
1,2023-01-01,6005001001,-625780,-632437.38
1,2023-01-01,6005002002,-123460,-128943.45
1,2023-01-01,6005003003,-24290,-18420.39
1,2023-01-01,6005004004,-238200,-236396.4
1,2023-01-01,6005005005,-35220,-33770.76
1,2023-01-01,6005006006,-172310,-193415.18
1,2023-01-01,8001001001,-6030,-6965.28
1,2023-01-01,8001002002,-6970,-5030.48
1,2023-01-01,8002001001,11910,23217.6
1,2023-01-01,8002002002,67380,38696
1,2023-01-01,8003001001,-6370,-6191.36
1,2023-01-01,10001001001,-637280,-663360.11
1,2023-01-01,10001002002,-581130,-646776.11
1,2023-02-01,1001001001,40568030,40909602.57
